Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                   1",1.129759655935e+00,2.121522768923e-02,-9.248780689552e-03,3.046400837879e-02,-1.985639453417e-02
"                   2",3.969291490150e+00,2.438574252202e-02,-1.408469746746e-02,3.847043998948e-02,-2.627756872847e-02
"                   3",4.009231737222e+00,-3.903374297565e-02,2.162517791193e-02,-6.065892088758e-02,4.114204939976e-02
"                   4",3.595690584390e-01,-3.365165446414e-02,1.787410125626e-02,-5.152575572040e-02,3.469992848833e-02
"                   5",-2.012434135334e+00,-8.735022074724e-03,2.948998528663e-03,-1.168402060339e-02,7.316509566026e-03
"                   6",-1.351262515622e+00,1.825591650127e-02,-1.039382660012e-02,2.864974310139e-02,-1.952178485076e-02
"                   7",8.190006543526e-01,4.286680079443e-02,-2.085830664364e-02,6.372510743807e-02,-4.229170704086e-02
"                   8",1.793960027923e+00,4.397589332824e-02,-2.161860417408e-02,6.559449750232e-02,-4.360655083820e-02
"                   9",1.155899008723e+00,2.392302170841e-02,-1.331064900471e-02,3.723367071312e-02,-2.527215985891e-02
"                  10",1.340645371917e-01,1.100379706775e-03,-3.550180270331e-03,4.650559977106e-03,-4.100370123719e-03
"                  11",-1.598513186128e-01,-1.094495946361e-02,2.716914031568e-03,-1.366187349518e-02,8.189393763374e-03
"                  12",2.904266299393e-01,-1.098385130248e-02,4.339195219846e-03,-1.532304652233e-02,9.831120871087e-03
"                  13",7.552861387764e-01,-5.119470838142e-03,2.351103013220e-03,-7.470573851363e-03,4.910838432291e-03
"                  14",7.510769276619e-01,6.759373249134e-04,-1.162367066685e-03,1.838304391599e-03,-1.500335729142e-03
"                  15",4.417464125535e-01,-1.198733929847e-03,-1.643328805789e-03,4.445948759417e-04,-1.043961840865e-03
"                  16",2.496931158175e-01,-8.572505655260e-03,1.166598505040e-03,-9.739104160300e-03,5.452851332670e-03
"                  17",3.389408665556e-01,-1.399894128132e-02,4.252771485077e-03,-1.825171276640e-02,1.125224212574e-02
"                  18",5.462485309215e-01,-1.321283596305e-02,4.998186566776e-03,-1.821102252983e-02,1.160460454830e-02
"                  19",6.284102895903e-01,-8.865473587181e-03,3.358089829079e-03,-1.222356341626e-02,7.790826622669e-03
"                  20",5.314163930516e-01,-6.272025171987e-03,1.487033224063e-03,-7.759058396050e-03,4.623045810057e-03
"                  21",4.007571227373e-01,-7.855979024869e-03,1.352677497208e-03,-9.208656522077e-03,5.280667009643e-03
"                  22",3.847698612160e-01,-1.029737108179e-02,2.473324175309e-03,-1.277069525710e-02,7.622009716202e-03
"                  23",4.825720841367e-01,-1.146229513018e-02,3.835843683068e-03,-1.529813881325e-02,9.566991248160e-03
"                  24",5.771012509087e-01,-1.098994531743e-02,4.593837724430e-03,-1.558378304186e-02,1.008881038314e-02
"                  25",5.752516235848e-01,-1.012214305563e-02,4.702363983181e-03,-1.482450703881e-02,9.763435510994e-03
"                  26",4.911918063097e-01,-1.038248978441e-02,4.664703928117e-03,-1.504719371253e-02,9.855948820321e-03
