a,b,R2
0.377506,-0.120872,0.000000
0.379510,-0.120872,0.000000
0.381514,-0.120872,0.000000
0.383518,-0.120872,0.000000
0.385522,-0.120872,0.000000
0.387526,-0.120872,0.000000
0.389530,-0.120872,0.000000
0.391534,-0.120872,0.000000
0.393538,-0.120872,0.000000
0.395542,-0.120872,0.000000
0.397546,-0.120872,0.000000
0.399550,-0.120872,0.000000
0.401554,-0.120872,0.000000
0.403558,-0.120872,0.000000
0.405562,-0.120872,0.000000
0.407566,-0.120872,0.000000
0.409570,-0.120872,0.000000
0.411574,-0.120872,0.000000
0.413578,-0.120872,0.000000
0.415582,-0.120872,0.000000
0.417586,-0.120872,0.000000
0.419590,-0.120872,0.000000
0.421594,-0.120872,0.000000
0.423598,-0.120872,0.000000
0.425602,-0.120872,0.000000
0.427606,-0.120872,0.000000
0.429610,-0.120872,0.000000
0.431614,-0.120872,0.000000
0.433618,-0.120872,0.000000
0.435622,-0.120872,0.000000
0.437626,-0.120872,0.000000
0.439630,-0.120872,0.000000
0.441634,-0.120872,0.000000
0.443638,-0.120872,0.000000
0.445642,-0.120872,0.000000
0.447646,-0.120872,0.000000
0.449650,-0.120872,0.000000
0.451654,-0.120872,0.000000
0.453658,-0.120872,0.000000
0.455662,-0.120872,0.000000
0.457666,-0.120872,0.000000
0.459670,-0.120872,0.000000
0.461674,-0.120872,0.000000
0.463678,-0.120872,0.000000
0.465682,-0.120872,0.000000
0.467686,-0.120872,0.000000
0.469690,-0.120872,0.000000
0.471694,-0.120872,0.000000
0.473698,-0.120872,0.000000
0.475702,-0.120872,0.000000
0.477706,-0.120872,0.000000
0.479710,-0.120872,0.000000
0.481714,-0.120872,0.000000
0.483718,-0.120872,0.000000
0.485722,-0.120872,0.000000
0.487726,-0.120872,0.000000
0.489730,-0.120872,0.000000
0.491734,-0.120872,0.000000
0.493738,-0.120872,0.000000
0.495742,-0.120872,0.000000
0.497746,-0.120872,0.000000
0.499750,-0.120872,0.000000
0.501754,-0.120872,0.000000
0.503758,-0.120872,0.000000
0.505762,-0.120872,0.000000
0.507766,-0.120872,0.000000
0.509770,-0.120872,0.000000
0.511774,-0.120872,0.000000
0.513778,-0.120872,0.000000
0.515782,-0.120872,0.000000
0.517786,-0.120872,0.000000
0.519790,-0.120872,0.000000
0.521794,-0.120872,0.000000
0.523798,-0.120872,0.000000
0.525802,-0.120872,0.000000
0.527806,-0.120872,0.000000
0.529810,-0.120872,0.000000
0.531814,-0.120872,0.000000
0.533818,-0.120872,0.000000
0.535822,-0.120872,0.000000
0.537826,-0.120872,0.000000
0.539830,-0.120872,0.000000
0.541834,-0.120872,0.000000
0.543838,-0.120872,0.000000
0.545842,-0.120872,0.000000
0.547846,-0.120872,0.000000
0.549850,-0.120872,0.000000
0.551854,-0.120872,0.000000
0.553858,-0.120872,0.000000
0.555862,-0.120872,0.000000
0.557866,-0.120872,0.000000
0.559870,-0.120872,0.000000
0.561874,-0.120872,0.000000
0.563878,-0.120872,0.000000
0.565882,-0.120872,0.000000
0.567886,-0.120872,0.000000
0.569890,-0.120872,0.000000
0.571894,-0.120872,0.000000
0.573898,-0.120872,0.000000
0.575902,-0.120872,0.000000
0.577906,-0.120872,0.000000
0.579910,-0.120872,0.000000
0.581914,-0.120872,0.000000
0.583918,-0.120872,0.000000
0.585922,-0.120872,0.000000
0.587926,-0.120872,0.000000
0.589930,-0.120872,0.000000
0.591934,-0.120872,0.000000
0.593938,-0.120872,0.000000
0.595942,-0.120872,0.000000
0.597946,-0.120872,0.000000
0.599950,-0.120872,0.000000
0.601954,-0.120872,0.000000
0.603958,-0.120872,0.000000
0.605962,-0.120872,0.000000
0.607966,-0.120872,0.000000
0.609970,-0.120872,0.000000
0.611974,-0.120872,0.000000
0.613978,-0.120872,0.000000
0.615983,-0.120872,0.000000
0.617987,-0.120872,0.000000
0.619991,-0.120872,0.000000
0.621995,-0.120872,0.000000
0.623999,-0.120872,0.000000
0.626003,-0.120872,0.000000
0.628007,-0.120872,0.000000
0.630011,-0.120872,0.000000
0.632015,-0.120872,0.000000
0.634019,-0.120872,0.000000
0.636023,-0.120872,0.000000
0.638027,-0.120872,0.000000
0.640031,-0.120872,0.000000
0.642035,-0.120872,0.000000
0.644039,-0.120872,0.000000
0.646043,-0.120872,0.000000
0.648047,-0.120872,0.000000
0.650051,-0.120872,0.000000
0.652055,-0.120872,0.000000
0.654059,-0.120872,0.000000
0.656063,-0.120872,0.000000
0.658067,-0.120872,0.000000
0.660071,-0.120872,0.000000
0.662075,-0.120872,0.000000
0.664079,-0.120872,0.000000
0.666083,-0.120872,0.000000
0.668087,-0.120872,0.000000
0.670091,-0.120872,0.000000
0.672095,-0.120872,0.000000
0.674099,-0.120872,0.000000
0.676103,-0.120872,0.000000
0.678107,-0.120872,0.000000
0.680111,-0.120872,0.000000
0.682115,-0.120872,0.000000
0.684119,-0.120872,0.000000
0.686123,-0.120872,0.000000
0.688127,-0.120872,0.000000
0.690131,-0.120872,0.000000
0.692135,-0.120872,0.000000
0.694139,-0.120872,0.000000
0.696143,-0.120872,0.000000
0.698147,-0.120872,0.000000
0.700151,-0.120872,0.000000
0.702155,-0.120872,0.000000
0.704159,-0.120872,0.000000
0.706163,-0.120872,0.000000
0.708167,-0.120872,0.000000
0.710171,-0.120872,0.000000
0.712175,-0.120872,0.000000
0.714179,-0.120872,0.000000
0.716183,-0.120872,0.000000
0.718187,-0.120872,0.000000
0.720191,-0.120872,0.000000
0.722195,-0.120872,0.000000
0.724199,-0.120872,0.000000
0.726203,-0.120872,0.000000
0.728207,-0.120872,0.000000
0.730211,-0.120872,0.000000
0.732215,-0.120872,0.000000
0.734219,-0.120872,0.000000
0.736223,-0.120872,0.000000
0.738227,-0.120872,0.000000
0.740231,-0.120872,0.000000
0.742235,-0.120872,0.000000
0.744239,-0.120872,0.000000
0.746243,-0.120872,0.000000
0.748247,-0.120872,0.000000
0.750251,-0.120872,0.000000
0.752255,-0.120872,0.000000
0.754259,-0.120872,0.000000
0.756263,-0.120872,0.000000
0.758267,-0.120872,0.000000
0.760271,-0.120872,0.000000
0.762275,-0.120872,0.000000
0.764279,-0.120872,0.000000
0.766283,-0.120872,0.000000
0.768287,-0.120872,0.000000
0.770291,-0.120872,0.000000
0.772295,-0.120872,0.000000
0.774299,-0.120872,0.000000
0.776303,-0.120872,0.000000
0.778307,-0.120872,0.000000
0.780311,-0.120872,0.000000
0.782315,-0.120872,0.000000
0.784319,-0.120872,0.000000
0.786323,-0.120872,0.000000
0.788327,-0.120872,0.000000
0.790331,-0.120872,0.000000
0.792335,-0.120872,0.000000
