a,b,R2
0.195589,-0.020416,0.000000
0.197593,-0.020416,0.000000
0.199597,-0.020416,0.000000
0.201601,-0.020416,0.000000
0.203605,-0.020416,0.000000
0.205609,-0.020416,0.000000
0.207613,-0.020416,0.000000
0.209617,-0.020416,0.000000
0.211621,-0.020416,0.000000
0.213625,-0.020416,0.000000
0.215629,-0.020416,0.000000
0.217633,-0.020416,0.000000
0.219637,-0.020416,0.000000
0.221641,-0.020416,0.000000
0.223645,-0.020416,0.000000
0.225649,-0.020416,0.000000
0.227653,-0.020416,0.000000
0.229657,-0.020416,0.000000
0.231661,-0.020416,0.000000
0.233665,-0.020416,0.000000
0.235669,-0.020416,0.000000
0.237673,-0.020416,0.000000
0.239677,-0.020416,0.000000
0.241681,-0.020416,0.000000
0.243686,-0.020416,0.000000
0.245690,-0.020416,0.000000
0.247694,-0.020416,0.000000
0.249698,-0.020416,0.000000
0.251702,-0.020416,0.000000
0.253706,-0.020416,0.000000
0.255710,-0.020416,0.000000
0.257714,-0.020416,0.000000
0.259718,-0.020416,0.000000
0.261722,-0.020416,0.000000
0.263726,-0.020416,0.000000
0.265730,-0.020416,0.000000
0.267734,-0.020416,0.000000
0.269738,-0.020416,0.000000
0.271742,-0.020416,0.000000
0.273746,-0.020416,0.000000
0.275750,-0.020416,0.000000
0.277754,-0.020416,0.000000
0.279758,-0.020416,0.000000
0.281762,-0.020416,0.000000
0.283766,-0.020416,0.000000
0.285770,-0.020416,0.000000
0.287774,-0.020416,0.000000
0.289778,-0.020416,0.000000
0.291782,-0.020416,0.000000
0.293786,-0.020416,0.000000
0.295790,-0.020416,0.000000
0.297794,-0.020416,0.000000
0.299798,-0.020416,0.000000
0.301802,-0.020416,0.000000
0.303806,-0.020416,0.000000
0.305810,-0.020416,0.000000
0.307814,-0.020416,0.000000
0.309818,-0.020416,0.000000
0.311822,-0.020416,0.000000
0.313826,-0.020416,0.000000
0.315830,-0.020416,0.000000
0.317834,-0.020416,0.000000
0.319838,-0.020416,0.000000
0.321842,-0.020416,0.000000
0.323846,-0.020416,0.000000
0.325850,-0.020416,0.000000
0.327854,-0.020416,0.000000
0.329858,-0.020416,0.000000
0.331862,-0.020416,0.000000
0.333866,-0.020416,0.000000
0.335870,-0.020416,0.000000
0.337874,-0.020416,0.000000
0.339878,-0.020416,0.000000
0.341882,-0.020416,0.000000
0.343886,-0.020416,0.000000
0.345890,-0.020416,0.000000
0.347894,-0.020416,0.000000
0.349898,-0.020416,0.000000
0.351902,-0.020416,0.000000
0.353906,-0.020416,0.000000
0.355910,-0.020416,0.000000
0.357914,-0.020416,0.000000
