a,b,R2
0.000000,0.000000,-8.525572
0.003006,0.000000,-8.487554
0.006012,0.000000,-8.449616
0.009018,0.000000,-8.411759
0.012024,0.000000,-8.373983
0.015030,0.000000,-8.336287
0.018036,0.000000,-8.298672
0.021042,0.000000,-8.261138
0.024048,0.000000,-8.223684
0.027054,0.000000,-8.186311
0.030060,0.000000,-8.149019
0.033066,0.000000,-8.111807
0.036072,0.000000,-8.074675
0.039078,0.000000,-8.037625
0.042084,0.000000,-8.000655
0.045090,0.000000,-7.963765
0.048096,0.000000,-7.926956
0.051102,0.000000,-7.890228
0.054108,0.000000,-7.853581
0.057114,0.000000,-7.817014
0.060120,0.000000,-7.780527
0.063126,0.000000,-7.744121
0.066132,0.000000,-7.707796
0.069138,0.000000,-7.671552
0.072144,0.000000,-7.635388
0.075150,0.000000,-7.599305
0.078156,0.000000,-7.563302
0.081162,0.000000,-7.527380
0.084168,0.000000,-7.491538
0.087174,0.000000,-7.455778
0.090180,0.000000,-7.420097
0.093186,0.000000,-7.384498
0.096192,0.000000,-7.348979
0.099198,0.000000,-7.313540
0.102204,0.000000,-7.278183
0.105210,0.000000,-7.242906
0.108216,0.000000,-7.207709
0.111222,0.000000,-7.172593
0.114228,0.000000,-7.137558
0.117234,0.000000,-7.102603
0.120240,0.000000,-7.067729
0.123246,0.000000,-7.032936
0.126253,0.000000,-6.998223
0.129259,0.000000,-6.963591
0.132265,0.000000,-6.929039
0.135271,0.000000,-6.894568
0.138277,0.000000,-6.860178
0.141283,0.000000,-6.825868
0.144289,0.000000,-6.791639
0.147295,0.000000,-6.757490
0.150301,0.000000,-6.723423
0.153307,0.000000,-6.689435
0.156313,0.000000,-6.655529
0.159319,0.000000,-6.621703
0.162325,0.000000,-6.587957
0.165331,0.000000,-6.554292
0.168337,0.000000,-6.520708
0.171343,0.000000,-6.487205
0.174349,0.000000,-6.453782
0.177355,0.000000,-6.420439
0.180361,0.000000,-6.387178
0.183367,0.000000,-6.353997
0.186373,0.000000,-6.320896
0.189379,0.000000,-6.287876
0.192385,0.000000,-6.254937
0.195391,0.000000,-6.222078
0.198397,0.000000,-6.189300
0.201403,0.000000,-6.156603
0.204409,0.000000,-6.123986
0.207415,0.000000,-6.091450
0.210421,0.000000,-6.058994
0.213427,0.000000,-6.026619
0.216433,0.000000,-5.994325
0.219439,0.000000,-5.962111
0.222445,0.000000,-5.929978
0.225451,0.000000,-5.897926
0.228457,0.000000,-5.865954
0.231463,0.000000,-5.834063
0.234469,0.000000,-5.802252
0.237475,0.000000,-5.770522
0.240481,0.000000,-5.738873
0.243487,0.000000,-5.707304
0.246493,0.000000,-5.675816
0.249499,0.000000,-5.644408
0.252505,0.000000,-5.613081
0.255511,0.000000,-5.581835
0.258517,0.000000,-5.550669
0.261523,0.000000,-5.519584
0.264529,0.000000,-5.488580
0.267535,0.000000,-5.457656
0.270541,0.000000,-5.426813
0.273547,0.000000,-5.396050
0.276553,0.000000,-5.365368
0.279559,0.000000,-5.334767
0.282565,0.000000,-5.304246
0.285571,0.000000,-5.273806
0.288577,0.000000,-5.243446
0.291583,0.000000,-5.213167
0.294589,0.000000,-5.182969
0.297595,0.000000,-5.152851
0.300601,0.000000,-5.122814
0.303607,0.000000,-5.092858
0.306613,0.000000,-5.062982
0.309619,0.000000,-5.033187
0.312625,0.000000,-5.003472
0.315631,0.000000,-4.973838
0.318637,0.000000,-4.944285
0.321643,0.000000,-4.914812
0.324649,0.000000,-4.885420
0.327655,0.000000,-4.856108
0.330661,0.000000,-4.826878
0.333667,0.000000,-4.797727
0.336673,0.000000,-4.768658
0.339679,0.000000,-4.739668
0.342685,0.000000,-4.710760
0.345691,0.000000,-4.681932
0.348697,0.000000,-4.653185
0.351703,0.000000,-4.624518
0.354709,0.000000,-4.595932
0.357715,0.000000,-4.567427
0.360721,0.000000,-4.539002
0.363727,0.000000,-4.510658
0.366733,0.000000,-4.482395
0.369739,0.000000,-4.454212
0.372745,0.000000,-4.426110
0.375752,0.000000,-4.398088
0.378758,0.000000,-4.370147
0.381764,0.000000,-4.342286
0.384770,0.000000,-4.314507
0.387776,0.000000,-4.286807
0.390782,0.000000,-4.259189
0.393788,0.000000,-4.231651
0.396794,0.000000,-4.204194
0.399800,0.000000,-4.176817
0.402806,0.000000,-4.149521
0.405812,0.000000,-4.122305
0.408818,0.000000,-4.095170
0.411824,0.000000,-4.068116
0.414830,0.000000,-4.041142
0.417836,0.000000,-4.014249
0.420842,0.000000,-3.987437
0.423848,0.000000,-3.960705
0.426854,0.000000,-3.934054
0.429860,0.000000,-3.907483
0.432866,0.000000,-3.880993
0.435872,0.000000,-3.854584
0.438878,0.000000,-3.828255
0.441884,0.000000,-3.802007
0.444890,0.000000,-3.775840
0.447896,0.000000,-3.749753
0.450902,0.000000,-3.723747
0.453908,0.000000,-3.697821
0.456914,0.000000,-3.671976
0.459920,0.000000,-3.646212
0.462926,0.000000,-3.620528
0.465932,0.000000,-3.594925
0.468938,0.000000,-3.569402
0.471944,0.000000,-3.543960
0.474950,0.000000,-3.518599
0.477956,0.000000,-3.493318
0.480962,0.000000,-3.468118
0.483968,0.000000,-3.442999
0.486974,0.000000,-3.417960
0.489980,0.000000,-3.393002
0.492986,0.000000,-3.368124
0.495992,0.000000,-3.343327
0.498998,0.000000,-3.318610
0.502004,0.000000,-3.293975
0.505010,0.000000,-3.269420
0.508016,0.000000,-3.244945
0.511022,0.000000,-3.220551
0.514028,0.000000,-3.196238
0.517034,0.000000,-3.172005
0.520040,0.000000,-3.147853
0.523046,0.000000,-3.123782
0.526052,0.000000,-3.099791
0.529058,0.000000,-3.075880
0.532064,0.000000,-3.052051
0.535070,0.000000,-3.028302
0.538076,0.000000,-3.004633
0.541082,0.000000,-2.981046
0.544088,0.000000,-2.957539
0.547094,0.000000,-2.934112
0.550100,0.000000,-2.910766
0.553106,0.000000,-2.887501
0.556112,0.000000,-2.864316
0.559118,0.000000,-2.841212
0.562124,0.000000,-2.818189
0.565130,0.000000,-2.795246
0.568136,0.000000,-2.772384
0.571142,0.000000,-2.749602
0.574148,0.000000,-2.726901
0.577154,0.000000,-2.704281
0.580160,0.000000,-2.681741
0.583166,0.000000,-2.659282
0.586172,0.000000,-2.636903
0.589178,0.000000,-2.614605
0.592184,0.000000,-2.592388
0.595190,0.000000,-2.570251
0.598196,0.000000,-2.548195
0.601202,0.000000,-2.526220
0.604208,0.000000,-2.504325
0.607214,0.000000,-2.482511
0.610220,0.000000,-2.460777
0.613226,0.000000,-2.439124
0.616232,0.000000,-2.417552
0.619238,0.000000,-2.396060
0.622244,0.000000,-2.374649
0.625251,0.000000,-2.353319
0.628257,0.000000,-2.332069
0.631263,0.000000,-2.310899
0.634269,0.000000,-2.289811
0.637275,0.000000,-2.268803
0.640281,0.000000,-2.247875
0.643287,0.000000,-2.227028
0.646293,0.000000,-2.206262
0.649299,0.000000,-2.185577
0.652305,0.000000,-2.164972
0.655311,0.000000,-2.144447
0.658317,0.000000,-2.124004
0.661323,0.000000,-2.103641
0.664329,0.000000,-2.083358
0.667335,0.000000,-2.063156
0.670341,0.000000,-2.043035
0.673347,0.000000,-2.022994
0.676353,0.000000,-2.003034
0.679359,0.000000,-1.983155
0.682365,0.000000,-1.963356
0.685371,0.000000,-1.943638
0.688377,0.000000,-1.924000
0.691383,0.000000,-1.904443
0.694389,0.000000,-1.884967
0.697395,0.000000,-1.865571
0.700401,0.000000,-1.846256
0.703407,0.000000,-1.827022
0.706413,0.000000,-1.807868
0.709419,0.000000,-1.788795
0.712425,0.000000,-1.769802
0.715431,0.000000,-1.750890
0.718437,0.000000,-1.732059
0.721443,0.000000,-1.713308
0.724449,0.000000,-1.694638
0.727455,0.000000,-1.676048
0.730461,0.000000,-1.657539
0.733467,0.000000,-1.639111
0.736473,0.000000,-1.620763
0.739479,0.000000,-1.602496
0.742485,0.000000,-1.584310
0.745491,0.000000,-1.566204
0.748497,0.000000,-1.548178
0.751503,0.000000,-1.530234
0.754509,0.000000,-1.512370
0.757515,0.000000,-1.494586
0.760521,0.000000,-1.476884
0.763527,0.000000,-1.459262
0.766533,0.000000,-1.441720
0.769539,0.000000,-1.424259
0.772545,0.000000,-1.406879
0.775551,0.000000,-1.389579
0.778557,0.000000,-1.372360
0.781563,0.000000,-1.355222
0.784569,0.000000,-1.338164
0.787575,0.000000,-1.321186
0.790581,0.000000,-1.304290
0.793587,0.000000,-1.287474
0.796593,0.000000,-1.270738
0.799599,0.000000,-1.254084
0.802605,0.000000,-1.237510
0.805611,0.000000,-1.221016
