a,b,R2
0.000000,0.000000,-12.372219
0.003006,0.000000,-12.324079
0.006012,0.000000,-12.276038
0.009018,0.000000,-12.228099
0.012024,0.000000,-12.180259
0.015030,0.000000,-12.132520
0.018036,0.000000,-12.084882
0.021042,0.000000,-12.037344
0.024048,0.000000,-11.989906
0.027054,0.000000,-11.942569
0.030060,0.000000,-11.895333
0.033066,0.000000,-11.848196
0.036072,0.000000,-11.801161
0.039078,0.000000,-11.754225
0.042084,0.000000,-11.707390
0.045090,0.000000,-11.660656
0.048096,0.000000,-11.614022
0.051102,0.000000,-11.567489
0.054108,0.000000,-11.521056
0.057114,0.000000,-11.474723
0.060120,0.000000,-11.428491
0.063126,0.000000,-11.382359
0.066132,0.000000,-11.336328
0.069138,0.000000,-11.290397
0.072144,0.000000,-11.244567
0.075150,0.000000,-11.198837
0.078156,0.000000,-11.153207
0.081162,0.000000,-11.107678
0.084168,0.000000,-11.062250
0.087174,0.000000,-11.016922
0.090180,0.000000,-10.971694
0.093186,0.000000,-10.926567
0.096192,0.000000,-10.881540
0.099198,0.000000,-10.836614
0.102204,0.000000,-10.791788
0.105210,0.000000,-10.747063
0.108216,0.000000,-10.702438
0.111222,0.000000,-10.657913
0.114228,0.000000,-10.613489
0.117234,0.000000,-10.569166
0.120240,0.000000,-10.524942
0.123246,0.000000,-10.480820
0.126253,0.000000,-10.436798
0.129259,0.000000,-10.392876
0.132265,0.000000,-10.349054
0.135271,0.000000,-10.305334
0.138277,0.000000,-10.261713
0.141283,0.000000,-10.218193
0.144289,0.000000,-10.174774
0.147295,0.000000,-10.131454
0.150301,0.000000,-10.088236
0.153307,0.000000,-10.045118
0.156313,0.000000,-10.002100
0.159319,0.000000,-9.959183
0.162325,0.000000,-9.916366
0.165331,0.000000,-9.873649
0.168337,0.000000,-9.831033
0.171343,0.000000,-9.788518
0.174349,0.000000,-9.746103
0.177355,0.000000,-9.703788
0.180361,0.000000,-9.661574
0.183367,0.000000,-9.619461
0.186373,0.000000,-9.577447
0.189379,0.000000,-9.535535
0.192385,0.000000,-9.493722
0.195391,0.000000,-9.452010
0.198397,0.000000,-9.410399
0.201403,0.000000,-9.368888
0.204409,0.000000,-9.327477
0.207415,0.000000,-9.286167
0.210421,0.000000,-9.244958
0.213427,0.000000,-9.203848
0.216433,0.000000,-9.162840
0.219439,0.000000,-9.121931
0.222445,0.000000,-9.081124
0.225451,0.000000,-9.040416
0.228457,0.000000,-8.999809
0.231463,0.000000,-8.959303
0.234469,0.000000,-8.918897
0.237475,0.000000,-8.878591
0.240481,0.000000,-8.838386
0.243487,0.000000,-8.798281
0.246493,0.000000,-8.758277
0.249499,0.000000,-8.718373
0.252505,0.000000,-8.678570
0.255511,0.000000,-8.638867
0.258517,0.000000,-8.599265
0.261523,0.000000,-8.559763
0.264529,0.000000,-8.520361
0.267535,0.000000,-8.481060
0.270541,0.000000,-8.441859
0.273547,0.000000,-8.402759
0.276553,0.000000,-8.363760
0.279559,0.000000,-8.324860
0.282565,0.000000,-8.286061
0.285571,0.000000,-8.247363
0.288577,0.000000,-8.208765
0.291583,0.000000,-8.170268
0.294589,0.000000,-8.131871
